Account_No,Age,Gender,Education,Marital_Status,Acc_Type,Months_On_Bank,Credit_Card,Credit_Score,Estimated_Income,Cust_id
4998365300,45,Male,High School,Married,Savings,42,Yes,619,60K - 80K,1
4998365301,49,Female,Graduate,Single,Savings,41,No,608,Less than 40K,2
4998365302,51,Male,Graduate,Married,Savings,42,Yes,502,80K - 120K,3
4998365303,40,Female,High School,,Savings,39,No,699,Less than 40K,4
4998365304,40,Male,Uneducated,Married,Savings,43,Yes,850,60K - 80K,5
4998365305,44,Male,Graduate,Married,Savings,44,Yes,645,40K - 60K,6
4998365306,51,Male,Unknown,Married,Salary,50,Yes,822,120K +,7
4998365307,32,Male,High School,,Current,29,Yes,376,60K - 80K,8
4998365308,37,Male,Uneducated,Single,Savings,44,No,501,60K - 80K,9
4998365309,48,Male,Graduate,Single,Savings,27,Yes,684,80K - 120K,10
4998365310,42,Male,Uneducated,,Savings,31,No,528,120K +,11
4998365311,65,Male,Unknown,Married,Savings,24,Yes,497,40K - 60K,12
4998365312,56,Male,College,Single,Savings,34,Yes,476,80K - 120K,13
4998365313,35,Male,Graduate,,Savings,25,No,549,60K - 80K,14
4998365314,57,Female,Graduate,Married,Savings,35,Yes,635,Less than 40K,15
4998365315,44,Male,Unknown,,Savings,45,No,616,80K - 120K,16
4998365316,48,Male,Post-Graduate,Single,Savings,58,Yes,653,80K - 120K,17
4998365317,41,Male,Unknown,Married,Savings,24,Yes,549,80K - 120K,18
4998365318,61,Male,High School,Married,Savings,45,No,587,40K - 60K,19
4998365319,45,Female,Graduate,Married,Savings,24,Yes,726,Unknown,20
4998365320,47,Male,Doctorate,Divorced,Savings,41,Yes,732,60K - 80K,21
4998365321,62,Female,Graduate,Married,Savings,32,Yes,636,Less than 40K,22
4998365322,41,Male,High School,Married,,38,Yes,510,40K - 60K,23
4998365323,,Female,Unknown,Single,Savings,46,No,669,Less than 40K,24
4998365324,54,Male,Unknown,Married,Savings,38,Yes,846,80K - 120K,25
4998365325,41,Female,Graduate,Single,Savings,25,No,577,Less than 40K,26
4998365326,59,Male,High School,Unknown,Savings,36,Yes,756,40K - 60K,27
4998365327,63,Male,Unknown,Married,Savings,44,No,571,60K - 80K,28
4998365328,44,Female,Uneducated,Single,Savings,43,Yes,574,Unknown,29
4998365329,47,Male,High School,Married,Savings,29,Yes,411,40K - 60K,30
4998365330,53,Male,Unknown,Married,Savings,39,Yes,591,80K - 120K,31
4998365331,53,Male,Uneducated,Married,Savings,36,No,533,60K - 80K,32
4998365332,41,Male,Graduate,Married,Savings,41,No,553,60K - 80K,33
4998365333,53,Female,College,Married,Savings,42,Yes,520,Less than 40K,34
4998365334,58,Male,Graduate,Married,Savings,29,Yes,722,80K - 120K,35
4998365335,55,Female,College,Single,Savings,45,Yes,475,Less than 40K,36
4998365336,55,Female,Graduate,Married,Savings,31,No,490,Less than 40K,37
4998365337,42,Female,High School,Married,Salary,33,No,804,Less than 40K,38
4998365338,57,Female,Graduate,Unknown,Savings,36,Yes,850,40K - 60K,39
4998365339,66,Female,Doctorate,Married,Savings,41,No,582,Unknown,40
4998365340,45,Male,Graduate,Single,Savings,40,Yes,472,80K - 120K,41
4998365341,51,Male,Unknown,Married,Savings,51,No,465,40K - 60K,42
4998365342,50,Female,College,Single,Current,61,Yes,556,40K - 60K,43
4998365343,49,Male,High School,Married,Savings,49,No,834,60K - 80K,44
4998365344,38,Female,Graduate,Single,Savings,61,Yes,660,Unknown,45
4998365345,49,Male,Uneducated,Single,Savings,32,Yes,776,80K - 120K,46
4998365346,56,Male,Doctorate,Married,Savings,27,Yes,829,60K - 80K,47
4998365347,59,Male,Doctorate,Married,Savings,39,Yes,637,40K - 60K,48
4998365348,46,Male,High School,Married,,38,No,550,80K - 120K,49
4998365349,52,Male,College,Single,Savings,37,Yes,776,80K - 120K,50
4998365350,52,Female,Unknown,Married,Savings,44,Yes,698,Less than 40K,51
4998365351,54,Female,Graduate,Married,Savings,36,No,585,Less than 40K,52
4998365352,,Female,High School,Married,Savings,33,No,788,Less than 40K,53
4998365353,49,Male,Unknown,Married,Savings,41,No,655,120K +,54
4998365354,56,Male,Graduate,Married,Savings,42,Yes,601,120K +,55
4998365355,49,Female,Graduate,Unknown,Savings,43,Yes,619,Less than 40K,56
4998365356,49,Female,Graduate,Single,Savings,45,Yes,656,Less than 40K,57
4998365357,56,Male,Uneducated,Married,Savings,19,No,725,40K - 60K,58
4998365358,44,Female,Graduate,Married,Savings,66,Yes,511,Unknown,59
4998365359,42,Male,High School,Single,Savings,51,Yes,614,60K - 80K,60
4998365360,55,Male,Unknown,Married,Savings,35,No,742,80K - 120K,61
4998365361,48,Male,Graduate,Married,Current,27,No,687,60K - 80K,62
4998365362,39,Male,High School,Divorced,Savings,33,No,555,60K - 80K,63
4998365363,44,Male,Post-Graduate,Single,Savings,56,Yes,684,120K +,64
4998365364,53,Male,High School,Single,Savings,26,Yes,603,120K +,65
4998365365,51,Male,Uneducated,Single,Current,36,Yes,751,80K - 120K,66
4998365366,57,Male,College,Married,Savings,34,Yes,581,60K - 80K,67
4998365367,44,Female,Uneducated,Single,Savings,43,Yes,735,Less than 40K,68
4998365368,49,Male,Graduate,Married,Savings,35,No,661,60K - 80K,69
4998365369,50,Male,Doctorate,Married,Savings,21,Yes,675,80K - 120K,70
4998365370,51,Male,Graduate,Single,Savings,58,Yes,738,120K +,71
4998365371,55,Female,Graduate,Married,Savings,29,Yes,813,Less than 40K,72
4998365372,54,Male,Graduate,Unknown,Savings,37,No,657,60K - 80K,73
4998365373,42,Male,Uneducated,Married,Savings,25,Yes,604,80K - 120K,74
4998365374,44,Male,College,Single,Savings,36,No,519,60K - 80K,75
4998365375,53,Male,Graduate,Single,Savings,21,Yes,735,80K - 120K,76
4998365376,44,Female,Graduate,Single,Savings,55,Yes,664,Less than 40K,77
4998365377,37,Female,Uneducated,Single,Savings,32,Yes,678,Less than 40K,78
4998365378,49,Male,Graduate,Divorced,Savings,33,No,757,60K - 80K,79
4998365379,47,Male,Graduate,Married,Savings,41,Yes,416,80K - 120K,80
4998365380,47,Male,Graduate,Married,Savings,34,No,665,60K - 80K,81
4998365381,44,Male,Unknown,Unknown,Savings,32,Yes,777,120K +,82
4998365382,55,Female,Unknown,Married,Savings,36,No,543,40K - 60K,83
4998365383,59,Female,Graduate,Married,Savings,34,Yes,506,Unknown,84
4998365384,53,Male,Graduate,Divorced,Savings,46,Yes,493,80K - 120K,85
4998365385,52,Male,Graduate,Married,Savings,75,Yes,652,60K - 80K,86
4998365386,53,Male,High School,Single,Savings,22,Yes,750,120K +,87
4998365387,43,Female,Uneducated,Single,Savings,30,Yes,729,Less than 40K,88
4998365388,44,Male,High School,Single,Savings,46,Yes,646,60K - 80K,89
4998365389,57,Male,Unknown,Married,Savings,28,Yes,635,120K +,90
4998365390,51,Female,High School,Single,Savings,44,Yes,647,Less than 40K,91
4998365391,49,Male,High School,Single,Savings,45,Yes,808,80K - 120K,92
4998365392,45,Male,Graduate,Single,Savings,36,Yes,524,40K - 60K,93
4998365393,53,Male,Graduate,Single,Savings,29,Yes,769,80K - 120K,94
4998365394,45,Female,Unknown,Married,Savings,42,No,730,Unknown,95
4998365395,64,Male,Graduate,Married,Savings,35,No,515,Less than 40K,96
4998365396,45,Male,Graduate,Married,Savings,41,No,773,40K - 60K,97
4998365397,53,Male,Doctorate,Married,Savings,29,Yes,814,40K - 60K,98
4998365398,56,Male,College,Married,Savings,22,No,710,120K +,99
4998365399,47,Male,Unknown,Married,Savings,34,No,413,80K - 120K,100
4998365400,49,Female,College,Single,Savings,40,Yes,665,Unknown,101
4998365401,41,Female,Unknown,Married,Current,44,No,623,Unknown,102
4998365402,53,Male,Graduate,Married,Savings,31,Yes,738,120K +,103
4998365403,,Female,Graduate,Single,Savings,36,Yes,528,Less than 40K,104
4998365404,44,Male,High School,Unknown,Savings,65,Yes,670,60K - 80K,105
4998365405,43,Female,Post-Graduate,Married,Savings,46,Yes,622,Less than 40K,106
4998365406,53,Male,Post-Graduate,Single,Savings,32,Yes,582,120K +,107
4998365407,44,Male,Uneducated,Married,Savings,36,No,785,60K - 80K,108
4998365408,62,Female,Unknown,Married,Savings,33,No,605,Less than 40K,109
4998365409,54,Male,Unknown,Divorced,Savings,35,Yes,479,120K +,110
4998365410,57,Male,Graduate,Married,Savings,30,No,685,60K - 80K,111
